offset,latA,latB,label
0x19f80,304.4,278.7,1
0x1a000,303.5,277.5,1
0x1a080,303.4,277.4,1
0x1a100,302.8,276.9,1
0x1a180,302.8,277.0,1
0x1a200,303.5,277.5,1
0x1a280,303.4,277.5,1
0x1a300,302.8,277.2,1
0x1a380,302.6,276.9,1
0x1a400,278.0,306.8,0
0x1a480,277.8,306.6,0
0x1a500,276.6,314.4,0
0x1a580,276.7,314.3,0
0x1a600,278.0,306.5,0
0x1a680,277.8,306.5,0
0x1a700,276.9,314.3,0
0x1a780,276.8,314.3,0
0x1a800,303.7,278.9,1
0x1a880,303.6,279.0,1
0x1a900,277.8,305.0,0
0x1a980,277.8,304.7,0
0x1aa00,303.6,279.0,1
0x1aa80,303.4,278.8,1
0x1ab00,277.9,304.8,0
0x1ab80,277.9,304.8,0
0x1ac00,277.3,311.3,0
0x1ac80,277.2,311.2,0
0x1ad00,302.4,277.7,1
0x1ad80,302.3,277.7,1
0x1ae00,277.2,311.2,0
0x1ae80,277.2,311.2,0
0x1af00,302.2,277.6,1
0x1af80,302.3,277.6,1
0x1b000,304.4,276.4,1
0x1b080,304.0,276.3,1
0x1b100,303.0,275.0,1
0x1b180,302.9,274.9,1
0x1b200,304.0,276.4,1
0x1b280,303.9,276.3,1
0x1b300,302.9,275.0,1
0x1b380,302.8,275.0,1
0x1b400,277.7,308.6,0
0x1b480,277.7,308.7,0
0x1b500,277.5,304.2,0
0x1b580,277.4,304.1,0
0x1b600,277.7,308.7,0
0x1b680,277.6,308.5,0
0x1b700,277.2,304.0,0
0x1b780,277.1,304.0,0
0x1b800,277.7,300.5,0
0x1b880,277.4,300.3,0
0x1b900,303.4,274.5,1
0x1b980,303.3,274.6,1
0x1ba00,277.8,300.3,0
0x1ba80,277.6,300.3,0
0x1bb00,303.3,274.5,1
0x1bb80,303.2,274.4,1
0x1bc00,303.9,274.5,1
0x1bc80,303.6,274.7,1
0x1bd00,277.3,311.9,0
0x1bd80,277.1,311.6,0
0x1be00,303.9,275.0,1
0x1be80,303.6,275.0,1
0x1bf00,277.3,311.6,0
0x1bf80,277.3,311.6,0
0x1c000,281.7,316.1,0
0x1c080,281.5,316.1,0
0x1c100,306.9,278.5,1
0x1c180,306.8,278.6,1
0x1c200,281.5,316.2,0
0x1c280,281.6,316.0,0
0x1c300,306.9,278.6,1
0x1c380,306.9,278.6,1
0x1c400,309.0,280.2,1
